EURING;Latin Name;PR0155;PR0101;PR0065;PR0041;PR0066;PR0315;PR0029;PR0069;PR0171;PR0070;PR0068;PR0161;check;stcp
30;Gavia arctica;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
90;Podiceps cristatus;0;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;1;all
100;Podiceps grisegena;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;1
110;Podiceps auritus;1;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;1
120;Podiceps nigricollis;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
720;Phalacrocorax carbo;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;1;all
950;Botaurus stellaris;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;1
1220;Ardea cinerea;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
1310;Ciconia nigra;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
1340;Ciconia ciconia;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;all
1520;Cygnus olor;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;1;all
1540;Cygnus cygnus;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;all
1610;Anser anser;0;NA;0;1;0;NA;NA;NA;NA;NA;NA;NA;1;all
1660;Branta canadensis;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;
1670;Branta leucopsis;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;1;all
1710;Tadorna ferruginea;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
1730;Tadorna tadorna;NA;NA;0;1;1;1;NA;NA;NA;NA;NA;NA;3;1
1790;Mareca penelope;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;2;1
1820;Mareca strepera;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;1;all
1840;Anas crecca;1;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;2;1
1860;Anas platyrhynchos;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;1;1
1890;Anas acuta;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;1;all
1910;Spatula querquedula;1;0;0;1;1;1;NA;NA;NA;NA;NA;NA;4;1
1940;Spatula clypeata;1;0;0;1;1;1;NA;NA;NA;NA;NA;NA;4;all
1980;Aythya ferina;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;1
2030;Aythya fuligula;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;4;all
2040;Aythya marila;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;
2060;Somateria mollissima;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;1;all
2150;Melanitta fusca;NA;NA;0;1;0;NA;NA;NA;NA;NA;NA;NA;1;1
2180;Bucephala clangula;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;3;1
2210;Mergus serrator;NA;NA;0;1;0;NA;NA;NA;NA;NA;NA;NA;1;1
2230;Mergus merganser;1;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;3;1
2310;Pernis apivorus;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;1;all
2380;Milvus migrans;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;
2390;Milvus milvus;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;
2430;Haliaeetus albicilla;NA;NA;0;0;NA;NA;1;NA;NA;NA;NA;NA;1;1
2600;Circus aeruginosus;0;0;0;0;0;NA;1;NA;NA;NA;NA;NA;1;all
2610;Circus cyaneus;NA;1;0;NA;NA;NA;0;NA;NA;NA;NA;NA;1;all
2630;Circus pygargus;0;1;0;NA;NA;NA;0;NA;NA;NA;NA;NA;1;all
2670;Accipiter gentilis;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;1;all
2690;Accipiter nisus;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;1;all
2870;Buteo buteo;NA;NA;0;0;NA;NA;1;NA;NA;NA;NA;NA;1;all
2920;Clanga pomarina;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;1;all
2930;Clanga clanga;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;
2960;Aquila chrysaetos;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;1
3010;Pandion haliaetus;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;1;1
3040;Falco tinnunculus;NA;NA;0;0;NA;NA;1;NA;NA;NA;NA;NA;1;all
3090;Falco columbarius;NA;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;
3100;Falco subbuteo;NA;NA;0;0;NA;NA;1;NA;NA;NA;NA;NA;1;all
3200;Falco peregrinus;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
3260;Bonasa bonasia;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
3290;Lagopus lagopus;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
3320;Lyrurus tetrix;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;
3350;Tetrao urogallus;NA;NA;0;NA;NA;NA;NA;NA;1;NA;NA;NA;1;all
3670;Perdix perdix;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
3700;Coturnix coturnix;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
4070;Rallus aquaticus;1;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;1;1
4080;Porzana porzana;1;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;1;1
4100;Zapornia parva;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
4210;Crex crex;0;0;0;0;0;NA;NA;NA;NA;1;NA;NA;1;all
4240;Gallinula chloropus;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
4290;Fulica atra;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;1
4330;Grus grus;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;1;all
4500;Haematopus ostralegus;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA;NA;1;all
4560;Recurvirostra avosetta;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA;NA;1;1
4690;Charadrius dubius;NA;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;1;1
4700;Charadrius hiaticula;NA;0;NA;1;0;NA;NA;NA;NA;NA;NA;NA;1;all
4850;Pluvialis apricaria;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;all
4930;Vanellus vanellus;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;1;all
5123;Calidris alpina schinzii;NA;0;NA;0;1;1;NA;NA;NA;NA;NA;NA;2;1
5140;Calidris falcinellus;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
5170;Calidris pugnax;NA;0;0;0;1;1;NA;NA;NA;NA;NA;NA;2;all
5180;Lymnocryptes minimus;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;
5190;Gallinago gallinago;0;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;3;all
5200;Gallinago media;NA;0;0;NA;NA;NA;NA;NA;NA;NA;1;NA;1;all
5290;Scolopax rusticola;NA;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;1;1
5320;Limosa limosa;NA;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;all
5380;Numenius phaeopus;NA;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;all
5410;Numenius arquata;NA;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;2;1
5460;Tringa totanus;0;1;0;0;1;NA;NA;NA;NA;NA;NA;NA;2;all
5470;Tringa stagnatilis;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;
5480;Tringa nebularia;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;all
5530;Tringa ochropus;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;1;all
5540;Tringa glareola;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;all
