Euring;"Latin Name";"English Name";"Is PECBMS Sp?"
20;"Gavia stellata";"Red-throated Loon";No
30;"Gavia arctica";"Arctic Loon";No
40;"Gavia immer";"Common Loon";No
50;"Gavia adamsii";"Yellow-billed Loon";No
60;"Podilymbus podiceps";"Pied-billed Grebe";No
70;"Tachybaptus ruficollis";"Little Grebe";Yes
90;"Podiceps cristatus";"Great Crested Grebe";Yes
100;"Podiceps grisegena";"Red-necked Grebe";No
110;"Podiceps auritus";"Horned Grebe";No
120;"Podiceps nigricollis";"Black-necked Grebe";No
220;"Fulmarus glacialis";"Northern Fulmar";No
261;"Pterodroma mollis";"Soft-plumaged Petrel";No
262;"Pterodroma feae";"Cape Verde Petrel";No
263;"Pterodroma madeira";"Zino's Petrel";No
340;"Bulweria bulwerii";"Bulwer's Petrel";No
360;"Calonectris diomedea";"Scopoli's Shearwater";No
362;"Calonectris edwardsii";"Cape Verde Shearwater";No
400;"Ardenna gravis";"Great Shearwater";No
430;"Ardenna grisea";"Sooty Shearwater";No
460;"Puffinus puffinus";"Manx Shearwater";No
461;"Puffinus puffinus puffinus";"Manx Shearwater";No
462;"Puffinus yelkouan";"Yelkouan Shearwater";No
463;"Puffinus mauretanicus";"Balearic Shearwater";No
480;"Puffinus assimilis baroli";"Audubon's Shearwater";No
490;"Puffinus lherminieri";"Audubon's Shearwater";No
510;"Pelagodroma marina";"White-faced Storm-petrel";No
520;"Hydrobates pelagicus";"European Storm-petrel";No
521;"Hydrobates pelagicus pelagicus";"European Storm-petrel";No
522;"Hydrobates pelagicus melitensis";"European Storm-petrel";No
550;"Hydrobates leucorhous";"Leach's Storm-petrel";No
560;"Hydrobates monorhis";"Swinhoe's Storm-petrel";No
580;"Hydrobates castro";"Band-rumped Storm-petrel";No
581;"Hydrobates monteiroi";"Monteiro's Storm-petrel";No
640;"Phaethon aethereus";"Red-billed Tropicbird";No
710;"Morus bassanus";"Northern Gannet";No
720;"Phalacrocorax carbo";"Great Cormorant";No
721;"Phalacrocorax carbo carbo";"Great Cormorant";No
722;"Phalacrocorax carbo sinensis";"Great Cormorant";No
800;"Phalacrocorax aristotelis";"European Shag";No
801;"Phalacrocorax aristotelis aristotelis";"European Shag";No
802;"Phalacrocorax aristotelis desmarestii";"European Shag";No
820;"Microcarbo pygmaeus";"Pygmy Cormorant";No
880;"Pelecanus onocrotalus";"Great White Pelican";No
890;"Pelecanus crispus";"Dalmatian Pelican";No
900;"Pelecanus rufescens";"Pink-backed Pelican";No
950;"Botaurus stellaris";"Eurasian Bittern";No
980;"Ixobrychus minutus";"Common Little Bittern";No
1040;"Nycticorax nycticorax";"Black-crowned Night-heron";No
1080;"Ardeola ralloides";"Squacco Heron";No
1110;"Bubulcus ibis";"Cattle Egret";Yes
1180;"Egretta gularis";"Western Reef-egret";No
1190;"Egretta garzetta";"Little Egret";Yes
1210;"Ardea alba";"Great White Egret";No
1220;"Ardea cinerea";"Grey Heron";Yes
1240;"Ardea purpurea";"Purple Heron";No
1310;"Ciconia nigra";"Black Stork";No
1340;"Ciconia ciconia";"White Stork";Yes
1360;"Plegadis falcinellus";"Glossy Ibis";No
1400;"Geronticus eremita";"Northern Bald Ibis";No
